home_team,away_team,game_id,season,date,pts_H,pts_A,winner,playoff,fg_pct_A,fg3_pct_A,ft_pct_A,reb_A,tot_ast_A,tot_tov_A,tot_stl_A,tot_blk_A,ts_pct_A,w_pct_A,w_pct_last_5_games_A,fg_pct_H,fg3_pct_H,ft_pct_H,reb_H,tot_ast_H,tot_tov_H,tot_stl_H,tot_blk_H,ts_pct_H,w_pct_H,w_pct_last_5_games_H,off_rating_A,def_rating_A,off_rating_H,def_rating_H,lineup_efficiency_A,lineup_efficiency_H,referee_name,referee_id
CHA,ATL,0022300063,2023-24,2023-10-25,116,110,home,False,0.41935483870967744,0.1724137931034483,0.8181818181818182,42,24,12,12,1,0.5115327380952381,0.0,0.0,0.5,0.2972972972972973,0.7307692307692307,51,34,19,5,3,0.5952380952380952,1.0,0.0,105.76923076923077,111.53846153846155,111.53846153846155,105.76923076923077,9.8,17.8,Ed Malloy,2530
ATL,NYK,0022300079,2023-24,2023-10-27,120,126,away,False,0.3711340206185567,0.43902439024390244,0.5384615384615384,47,24,9,9,0,0.47952784950202876,0.0,0.0,0.41935483870967744,0.1724137931034483,0.8181818181818182,42,24,12,12,1,0.5115327380952381,0.0,0.0,113.30049261083744,111.76470588235294,108.49056603773586,115.23809523809523,12.7,13.2,Scott Wall,1198
MIL,ATL,0022300097,2023-24,2023-10-29,110,127,away,False,0.45,0.2786885245901639,0.8095238095238095,86,52,26,19,7,0.553629886385519,0.0,0.0,0.5061728395061729,0.36666666666666664,0.6944444444444444,43,20,14,9,4,0.6092523750516315,1.0,0.0,112.9746835443038,112.82051282051282,110.14492753623189,117.3076923076923,15.6,13.0,Bill Kennedy,1662
ATL,MIN,0022300104,2023-24,2023-10-30,127,113,home,False,0.41935483870967744,0.3076923076923077,0.8,109,50,28,17,12,0.5020080321285141,0.5,0.0,0.46886446886446886,0.32653061224489793,0.8117647058823529,132,84,43,34,9,0.5750644329896908,0.333,0.0,104.68227424749163,106.08108108108108,117.19128329297821,113.13868613138686,16.733333333333334,16.65,Sean Wright,2882
ATL,WAS,0022300117,2023-24,2023-11-01,130,121,home,False,0.44565217391304346,0.33962264150943394,0.7532467532467533,130,78,40,27,18,0.5485994578546535,0.333,0.3333333333333333,0.49025069637883006,0.359375,0.8349514563106796,168,112,52,40,16,0.5985358132172537,0.5,0.25,107.45920745920745,118.26697892271663,117.39961759082217,112.26053639846742,11.083333333333332,16.119999999999997,Kevin Scott,202041
NOP,ATL,0022300135,2023-24,2023-11-04,105,123,away,False,0.49223946784922396,0.34375,0.8518518518518519,225,138,72,48,19,0.6014890282131662,0.6,0.4,0.4407158836689038,0.33707865168539325,0.703125,228,115,67,37,25,0.5404116665342128,0.8,0.6,119.25566343042071,111.81229773462785,107.27272727272728,110.26490066225165,17.26666666666667,16.880000000000003,Kevin Cutler,201246
OKC,ATL,0022300155,2023-24,2023-11-06,126,117,home,False,0.49080882352941174,0.34328358208955223,0.8427672955974843,277,166,83,52,25,0.6002019675548895,0.667,0.6,0.4951267056530214,0.3862433862433862,0.8333333333333334,244,144,90,40,34,0.6065676636686885,0.5,0.6,117.79310344827587,112.84530386740332,114.00832177531206,113.63004172461753,16.65714285714286,17.809523809523807,Tom Washington,1199
ORL,ATL,0022300172,2023-24,2023-11-09,119,120,away,False,0.47213622291021673,0.34156378600823045,0.8429319371727748,336,193,98,60,28,0.5848994575639691,0.571,0.8,0.4551386623164764,0.3194444444444444,0.7307692307692307,318,175,107,66,39,0.5482772551509205,0.571,0.6,117.49095295536792,113.04347826086956,109.60099750623442,106.84931506849315,16.475,12.536666666666667,Pat Fraher,2003
ATL,MIA,0022300175,2023-24,2023-11-11,109,117,away,False,0.45507246376811594,0.38132295719844356,0.8220858895705522,346,206,118,71,30,0.5645118941343276,0.5,0.4,0.47332421340629277,0.3475177304964539,0.832579185520362,372,215,115,73,35,0.587993818216942,0.625,0.8,108.19490586932447,109.1510474090408,116.20171673819743,113.10418904403868,11.665000000000003,16.22222222222222,Bill Kennedy,1662
DET,ATL,0022300018,2023-24,2023-11-14,120,126,away,False,0.46943765281173594,0.35365853658536583,0.8326359832635983,420,238,136,79,41,0.5865722085012349,0.556,0.8,0.46224489795918366,0.363914373088685,0.8272727272727273,511,300,183,60,61,0.5604569093610698,0.182,0.0,116.6988416988417,113.44294003868471,110.03316749585406,114.49875724937864,14.88,13.05,Nick Buchert,202007
