fg_pct_A,fg3_pct_A,ft_pct_A,reb_A,tot_ast_A,tot_tov_A,tot_stl_A,tot_blk_A,ts_pct_A,w_pct_A,w_pct_last_5_games_A,fg_pct_H,fg3_pct_H,ft_pct_H,reb_H,tot_ast_H,tot_tov_H,tot_stl_H,tot_blk_H,ts_pct_H,w_pct_H,w_pct_last_5_games_H,off_rating_A,def_rating_A,off_rating_H,def_rating_H,lineup_efficiency_A,lineup_efficiency_H,home_team,away_team,game_id,season,date,playoff,referee
0.37362637362637363,0.2,0.6111111111111112,50,19,14,4,2,0.43469470279013345,0.0,0.0,0.43956043956043955,0.2978723404255319,0.8666666666666667,53,18,10,6,5,0.5481557377049181,1.0,0.0,90.52631578947368,111.45833333333333,111.45833333333333,90.52631578947368,5.8,11.6,UTA,OKC,0022100011,2021-22,2021-10-20,False,"{'name': 'Zach Zarba', 'id': 2534}"
0.37362637362637363,0.2,0.6111111111111112,50,19,14,4,2,0.43469470279013345,0.0,0.0,0.45454545454545453,0.3333333333333333,0.6818181818181818,41,21,24,13,3,0.5425880425880425,0.0,0.0,89.39393939393939,114.92537313432835,107.98122065727699,101.89573459715639,4.2,12.4,HOU,OKC,0022100023,2021-22,2021-10-22,False,"{'name': 'Sean Corbin', 'id': 1151}"
0.4943181818181818,0.4426229508196721,0.8064516129032258,82,41,20,17,14,0.5958658510862688,0.5,0.5,0.37362637362637363,0.2692307692307692,0.5882352941176471,89,41,33,13,6,0.44932981316003245,0.0,0.0,116.38225255972696,107.16723549488054,94.91525423728814,116.10738255033557,15.933333333333334,8.533333333333333,OKC,PHI,0022100038,2021-22,2021-10-24,False,"{'name': 'Rodney Mott', 'id': 1179}"
0.4652014652014652,0.3925233644859813,0.7763157894736842,146,83,44,26,9,0.5792324761780446,1.0,0.6666666666666666,0.40601503759398494,0.26605504587155965,0.660377358490566,131,65,44,22,10,0.4838932669708282,0.0,0.0,111.35265700483092,104.09638554216866,96.18320610687023,113.85390428211586,13.95,9.05,OKC,GSW,0022100051,2021-22,2021-10-26,False,"{'name': 'JB DeRosa', 'id': 1155}"
0.4702702702702703,0.39705882352941174,0.6847826086956522,183,95,63,32,29,0.566410056519197,0.5,0.25,0.4090909090909091,0.2867132867132867,0.7,173,84,57,29,13,0.49373040752351094,0.0,0.0,108.0074487895717,111.35940409683427,100.60240963855422,113.17365269461077,13.76,10.790000000000001,OKC,LAL,0022100061,2021-22,2021-10-27,False,"{'name': 'Scott Foster', 'id': 1162}"
0.4269406392694064,0.3111111111111111,0.7171717171717171,215,105,72,37,16,0.5201844006977324,0.2,0.0,0.45964125560538116,0.37433155080213903,0.7735849056603774,240,142,81,43,24,0.5703962325430335,0.8,0.8,97.16666666666667,111.11111111111111,106.57051282051282,98.7220447284345,9.4,13.633333333333331,GSW,OKC,0022100086,2021-22,2021-10-30,False,"{'name': 'Bill Kennedy', 'id': 1662}"
0.4145873320537428,0.2922374429223744,0.725,260,119,87,45,22,0.5080167305681422,0.167,0.2,0.4199134199134199,0.3170731707317073,0.7093023255813954,205,120,57,57,19,0.5141645326504481,0.2,0.2,96.71428571428572,109.54415954415954,100.32733224222585,100.98039215686273,10.352380952380951,10.620000000000001,LAC,OKC,0022100102,2021-22,2021-11-01,False,"{'name': 'Sean Corbin', 'id': 1151}"
0.41080196399345337,0.29296875,0.7352941176470589,311,136,103,53,28,0.5045912587204102,0.143,0.2,0.4816326530612245,0.36220472440944884,0.7181208053691275,351,196,129,74,50,0.5664784650744479,0.625,0.8,98.0,108.85286783042393,107.43889479277364,107.23404255319149,10.75,13.163888888888888,LAL,OKC,0022100123,2021-22,2021-11-04,False,"{'name': 'Kevin Scott', 'id': 202041}"
0.4684147794994041,0.34108527131782945,0.7019867549668874,400,249,122,84,50,0.5411733521823644,0.333,0.2,0.41260744985673353,0.30303030303030304,0.7283950617283951,361,159,119,60,30,0.509567387687188,0.25,0.2,104.57643622200585,103.88349514563106,98.00221975582686,107.08748615725361,11.797142857142859,9.686111111111112,OKC,SAS,0022100144,2021-22,2021-11-07,False,"{'name': 'Bennie Adams', 'id': 1363}"
0.4078282828282828,0.3008849557522124,0.7417582417582418,418,180,132,65,37,0.5062608934960096,0.333,0.4,0.41977800201816345,0.32114882506527415,0.8074866310160428,507,255,167,79,48,0.5152429934406678,0.091,0.0,99.1,106.38085742771686,101.42977291841883,112.38493723849372,11.064444444444444,11.314444444444444,NOP,OKC,0022100165,2021-22,2021-11-10,False,"{'name': 'Scott Foster', 'id': 1162}"
0.460093896713615,0.34278959810874704,0.7953667953667953,537,275,169,83,61,0.5644805591368663,0.417,0.4,0.40955631399317405,0.3002680965147453,0.75,474,203,150,71,41,0.5096268564611017,0.4,0.6,109.1324200913242,109.56719817767653,99.7270245677889,106.17059891107078,15.194755244755246,10.263636363636364,OKC,SAC,0022100180,2021-22,2021-11-12,False,"{'name': 'Marc Davis', 'id': 1830}"
0.46752058554437326,0.3902439024390244,0.78515625,582,320,188,84,70,0.580189774725457,0.692,0.8,0.4110429447852761,0.3027295285359802,0.748898678414097,526,216,160,79,47,0.5084053883549189,0.455,0.6,108.11387900355871,103.42612419700214,99.4161801501251,107.5,13.923076923076923,10.056060606060607,OKC,BKN,0022100196,2021-22,2021-11-14,False,"{'name': 'Rodney Mott', 'id': 1179}"
0.46033129904097647,0.3395348837209302,0.8222996515679443,635,311,191,95,31,0.5646833375219905,0.615,0.2,0.4101123595505618,0.30357142857142855,0.7563025210084033,570,236,174,88,49,0.5082202060167815,0.417,0.8,111.02305475504323,103.66642703091303,98.84348496530455,107.23633564280215,10.17032967032967,10.15,OKC,MIA,0022100207,2021-22,2021-11-15,False,"{'name': 'Courtney Kirkland', 'id': 2004}"
0.43179916317991635,0.31958762886597936,0.6918604651162791,635,288,257,110,64,0.5292046703704804,0.071,0.0,0.4100781928757602,0.30879345603271985,0.7540322580645161,612,262,194,94,59,0.5086817128527442,0.385,0.8,97.99352750809062,108.7378640776699,98.85632594710508,105.85714285714285,8.7,10.473626373626374,OKC,HOU,0022100221,2021-22,2021-11-17,False,"{'name': 'Tom Washington', 'id': 1199}"
0.412711182622687,0.30492424242424243,0.7424242424242424,668,280,204,104,65,0.5087701227228582,0.429,0.6,0.44189489267209475,0.35284552845528455,0.7323943661971831,678,330,192,115,64,0.5484565977397762,0.467,0.4,98.32999331997327,105.27018012008004,106.45561762880197,107.32919254658384,10.08857142857143,14.960378787878787,MIL,OKC,0022100234,2021-22,2021-11-19,False,"{'name': 'Eric Lewis', 'id': 2715}"
