fg_pct_A,fg3_pct_A,ft_pct_A,reb_A,tot_ast_A,tot_tov_A,tot_stl_A,tot_blk_A,ts_pct_A,w_pct_A,w_pct_last_5_games_A,fg_pct_H,fg3_pct_H,ft_pct_H,reb_H,tot_ast_H,tot_tov_H,tot_stl_H,tot_blk_H,ts_pct_H,w_pct_H,w_pct_last_5_games_H,off_rating_A,def_rating_A,off_rating_H,def_rating_H,lineup_efficiency_A,lineup_efficiency_H,home_team,away_team,game_id,season,date,playoff,referee
0.5301204819277109,0.4358974358974359,0.5555555555555556,46,25,17,9,1,0.6324747010119596,1.0,0.0,0.41379310344827586,0.3783783783783784,0.7058823529411765,45,23,18,9,3,0.5186282811176969,0.0,0.0,108.91089108910892,97.02970297029702,97.02970297029702,108.91089108910892,18.6,9.4,PHX,DEN,0022100012,2021-22,2021-10-20,False,"{'name': 'Leon Wood', 'id': 1201}"
0.5,0.43333333333333335,0.6666666666666666,43,32,8,8,3,0.5806268882175226,1.0,0.0,0.5301204819277109,0.4358974358974359,0.5555555555555556,46,25,17,9,1,0.6324747010119596,1.0,0.0,110.6060606060606,100.50505050505049,103.921568627451,95.56650246305419,15.1,16.2,DEN,SAS,0022100024,2021-22,2021-10-22,False,"{'name': 'Sean Wright', 'id': 2882}"
0.4774436090225564,0.30927835051546393,0.7692307692307693,126,87,38,21,14,0.5668703326544466,0.333,0.0,0.5207100591715976,0.37681159420289856,0.5882352941176471,87,51,38,19,3,0.600634632819583,1.0,0.5,107.17821782178218,107.63546798029557,99.00662251655629,97.66666666666667,14.55,14.4,DEN,CLE,0022100048,2021-22,2021-10-25,False,"{'name': 'Tony Brothers', 'id': 1146}"
0.4823529411764706,0.32710280373831774,0.6206896551724138,134,72,59,29,6,0.5583358231251867,0.667,0.6666666666666666,0.425414364640884,0.33707865168539325,0.868421052631579,104,34,27,20,8,0.5487558163058871,1.0,0.5,101.23762376237624,103.49127182044889,112.99999999999999,99.0,15.1,12.866666666666665,UTA,DEN,0022100054,2021-22,2021-10-26,False,"{'name': 'Derrick Collins', 'id': 2002}"
0.4180327868852459,0.32947976878612717,0.6811594202898551,195,83,50,26,23,0.5172065798768796,0.75,0.5,0.4881656804733728,0.3333333333333333,0.6415094339622641,169,91,72,38,9,0.5659802944758109,0.5,0.5,97.58551307847083,104.00801603206413,101.98019801980197,98.0,3.166666666666667,15.0,DEN,DAL,0022100075,2021-22,2021-10-29,False,"{'name': 'Scott Foster', 'id': 1162}"
0.49406175771971494,0.32748538011695905,0.6515151515151515,220,119,91,46,12,0.5721713625455515,0.6,0.4,0.4258241758241758,0.32748538011695905,0.7647058823529411,183,97,65,46,31,0.536870951669158,0.75,0.5,100.99667774086379,97.48322147651007,101.953125,98.43444227005871,14.533333333333335,12.0,MIN,DEN,0022100087,2021-22,2021-10-30,False,"{'name': 'Kevin Cutler', 'id': 201246}"
0.4793713163064833,0.3125,0.6707317073170732,268,143,109,57,22,0.5577162985249872,0.667,0.6,0.4343257443082312,0.34523809523809523,0.8256880733944955,283,157,90,66,34,0.5436538710094352,0.5,0.6,100.71428571428571,98.84892086330936,109.25666199158486,112.69393511988717,14.257142857142856,14.37142857142857,MEM,DEN,0022100100,2021-22,2021-11-01,False,"{'name': 'Matt Boland', 'id': 2005}"
0.474036850921273,0.3008130081300813,0.6701030927835051,308,170,121,65,30,0.5510567783891946,0.571,0.6,0.437125748502994,0.34965034965034963,0.8189655172413793,338,177,102,74,38,0.5416944815309301,0.571,0.4,102.0125786163522,100.63291139240506,109.77722772277228,112.56218905472637,14.675,14.4,MEM,DEN,0022100114,2021-22,2021-11-03,False,"{'name': 'Tom Washington', 'id': 1199}"
0.43948126801152737,0.3472222222222222,0.7134831460674157,361,179,154,67,34,0.5418738346799253,0.125,0.0,0.4738372093023256,0.30036630036630035,0.7,352,194,132,72,34,0.5506518196632265,0.5,0.4,99.67880085653104,106.32368703108253,101.56950672645739,100.11261261261262,10.247619047619047,13.866666666666665,DEN,HOU,0022100133,2021-22,2021-11-06,False,"{'name': 'Josh Tiven', 'id': 201639}"
0.47029077117572693,0.3568904593639576,0.8247422680412371,453,222,130,63,19,0.573394495412844,0.778,0.8,0.46589446589446587,0.29073482428115016,0.7165354330708661,397,213,143,82,39,0.5438958793583709,0.556,0.4,112.11812627291242,103.15040650406505,103.34685598377283,100.40774719673801,14.251111111111111,14.179999999999998,DEN,MIA,0022100151,2021-22,2021-11-08,False,"{'name': 'Michael Smith', 'id': 1193}"
0.46530612244897956,0.34987593052109184,0.7708333333333334,503,266,173,80,66,0.564125206673681,0.364,0.4,0.46543778801843316,0.2909604519774011,0.7152317880794702,446,241,152,89,44,0.5452463507555327,0.6,0.6,107.9800498753117,108.92410341951626,104.08921933085502,100.93196644920783,15.047619047619047,8.563636363636364,DEN,IND,0022100167,2021-22,2021-11-10,False,"{'name': 'Bill Kennedy', 'id': 1662}"
