fg_pct_A,fg3_pct_A,ft_pct_A,reb_A,tot_ast_A,tot_tov_A,tot_stl_A,tot_blk_A,ts_pct_A,w_pct_A,w_pct_last_5_games_A,fg_pct_H,fg3_pct_H,ft_pct_H,reb_H,tot_ast_H,tot_tov_H,tot_stl_H,tot_blk_H,ts_pct_H,w_pct_H,w_pct_last_5_games_H,off_rating_A,def_rating_A,off_rating_H,def_rating_H,lineup_efficiency_A,lineup_efficiency_H,home_team,away_team,game_id,season,date,playoff,referee_name,referee_id
0.4579735175590098,0.3481953290870488,0.78748370273794,1639,1103,543,272,222,0.5611993241470505,0.184,0.4,0.4661231374754006,0.3624484181568088,0.8125,1698,982,495,311,176,0.5808664622807458,0.395,0.4,108.52963054797917,117.50248262164848,117.44849838669644,119.5679165631984,12.0141219564749,17.497868329868332,ATL,SAS,0022300559,2023-24,2024-01-15,False,Courtney Kirkland,2004
0.4679873672121734,0.3417721518987341,0.7540360873694207,1756,991,558,325,221,0.5683776277646009,0.55,0.4,0.4652054794520548,0.3619302949061662,0.8114169215086646,1755,1006,511,319,182,0.5796689565958781,0.41,0.2,112.08791208791207,111.07317073170732,117.28484848484848,119.27740058195926,9.6501153592617,17.34315789473684,ATL,ORL,0022300570,2023-24,2024-01-17,False,Scott Wall,1198
0.466183574879227,0.3612392880685564,0.8135593220338984,1796,1027,534,327,184,0.5804689824635497,0.425,0.4,0.466,0.3789004457652303,0.8205128205128205,1708,1064,514,302,137,0.581827437006872,0.585,0.8,117.1997157071784,119.12322274881517,113.78555798687088,112.988589463462,15.139059134181084,16.098933172302736,MIA,ATL,0022300587,2023-24,2024-01-19,False,Brian Forte,101283
0.4756413952147593,0.3538892782060266,0.7674418604651163,1762,1040,517,305,175,0.5788197927114678,0.615,1.0,0.4660372410175715,0.3627577319587629,0.8137254901960784,1834,1050,547,333,186,0.5803885682106152,0.439,0.6,114.70365699873896,110.80876795162509,116.65895418787598,119.0233742189308,14.031860075408463,17.079908424908425,ATL,CLE,0022300595,2023-24,2024-01-20,False,Brent Barnaky,201638
0.4644137224782386,0.3610062893081761,0.8115942028985508,1879,1075,558,338,190,0.5780254046865686,0.429,0.6,0.4770299145299145,0.3722188815393866,0.7251655629139073,1786,1185,525,283,165,0.5851341173744279,0.561,0.4,116.36158192090396,119.00994575045208,116.50257852789498,115.83880037488284,14.923163886009348,15.8034335839599,SAC,ATL,0022300613,2023-24,2024-01-22,False,Scott Foster,1162
0.4626156539134783,0.3607361963190184,0.8107344632768362,1929,1094,570,340,197,0.5764304969683943,0.419,0.6,0.4651034482758621,0.369047619047619,0.7917121046892039,1843,1126,558,262,146,0.5817330606084677,0.45,0.4,116.26519337016576,119.31491712707182,116.87272727272727,117.53704153509835,14.988268398268398,11.54754328140721,GSW,ATL,0022300626,2023-24,2024-01-24,False,Marc Davis,1830
0.4707946853848082,0.3687119955776672,0.7553816046966731,1841,1109,516,293,195,0.5851964998603187,0.545,0.4,0.4615196677253848,0.3598326359832636,0.8097426470588235,1974,1124,580,347,199,0.5753851941938701,0.409,0.6,117.66130808192028,117.29455827274732,116.66666666666669,119.77974519542217,14.58547471620227,17.17712344752855,ATL,DAL,0022300634,2023-24,2024-01-26,False,Tyler Ford,204059
0.4794350842418236,0.353099730458221,0.7366336633663366,1965,1328,568,331,220,0.5733863047942148,0.356,0.2,0.4630071599045346,0.3614528412419449,0.8112701252236136,2010,1156,587,354,201,0.5771136627708291,0.4,0.4,114.63733391417992,116.82974559686888,116.81453316434305,119.8141106886354,12.212338375099998,15.775938735177863,ATL,TOR,0022300653,2023-24,2024-01-28,False,Pat Fraher,2003
0.4912991656734207,0.3654371584699453,0.7745762711864407,2061,1349,665,377,264,0.5908743795341733,0.5,0.6,0.4630105017502917,0.3592848904267589,0.810880829015544,2061,1183,601,361,205,0.5767000659085789,0.413,0.2,113.40637450199202,114.89531405782652,117.05906650144568,119.63658889118317,12.815949350130456,17.430047214580053,ATL,LAL,0022300669,2023-24,2024-01-30,False,Marc Davis,1830
0.4946341463414634,0.37871777924653,0.8122923588039868,2077,1270,668,344,286,0.6055389480232236,0.583,0.6,0.4644322845417236,0.3606094808126411,0.8120748299319728,2107,1215,613,371,207,0.5779615943093012,0.426,0.2,117.88801976121862,115.52539584618548,117.2532362459547,119.61974110032362,19.55787283932784,16.28822656227261,ATL,PHX,0022300690,2023-24,2024-02-02,False,Zach Zarba,2534
