home_team,away_team,game_id,season,date,pts_H,pts_A,winner,playoff,fg_pct_A,fg3_pct_A,ft_pct_A,reb_A,tot_ast_A,tot_tov_A,tot_stl_A,tot_blk_A,ts_pct_A,w_pct_A,w_pct_last_5_games_A,fg_pct_H,fg3_pct_H,ft_pct_H,reb_H,tot_ast_H,tot_tov_H,tot_stl_H,tot_blk_H,ts_pct_H,w_pct_H,w_pct_last_5_games_H,off_rating_A,def_rating_A,off_rating_H,def_rating_H,lineup_efficiency_A,lineup_efficiency_H,referee_name,referee_id
OKC,GSW,0022200982,2022-23,2023-03-07,137,128,home,False,0.4751409533572527,0.3829939264022865,0.7927858787413661,2874,1922,1017,456,245,0.5965311406839373,0.523,1.0,0.46997476871320437,0.36104731281580155,0.7989240080699395,2797,1593,813,533,297,0.5729412905650314,0.469,0.2,114.11007025761124,113.37234820775421,114.58550379520761,113.013698630137,13.865783616128443,14.349120412227114,Tom Washington,1199
MEM,GSW,0022200996,2022-23,2023-03-09,131,110,home,False,0.4759340289464827,0.3831578947368421,0.7937831690674754,2907,1958,1038,464,248,0.5975597789757082,0.515,0.8,0.4674005080440305,0.3430863614912695,0.7249842668344871,3022,1615,833,538,385,0.5601772216300029,0.594,0.6,114.00144196106706,113.61014994232987,113.64322366435256,109.64145827056342,15.740023165767616,12.028176657706743,Zach Zarba,2534
GSW,MIL,0022201012,2022-23,2023-03-11,125,116,home,False,0.4666778579822058,0.3654784240150094,0.7441549766199065,3244,1658,926,426,327,0.5780207023314308,0.727,0.8,0.4754316069057105,0.38238341968911915,0.7967237527922562,2939,1983,1055,473,251,0.5975128950917018,0.507,0.6,113.37616822429905,109.6024554223911,113.91489361702128,113.41843971631205,14.022828282828282,15.53351637206607,David Guthrie,2714
GSW,PHX,0022201025,2022-23,2023-03-13,123,112,home,False,0.46728816380888966,0.37817028985507245,0.7922705314009661,2968,1823,884,491,335,0.5716706599082557,0.552,0.8,0.4742503259452412,0.38305084745762713,0.7976366322008862,3004,2016,1070,485,255,0.5964264917347023,0.515,0.4,114.24125666864255,112.07994078460399,114.04195804195805,113.41446356133724,15.524090966176516,15.561849622399825,Tom Washington,1199
LAC,GSW,0022201041,2022-23,2023-03-15,134,126,home,False,0.4751567776169802,0.3844095015055202,0.7939042089985486,3045,2044,1084,493,261,0.5972613738256961,0.522,0.4,0.47240506329113924,0.37624190064794816,0.784503631961259,2992,1601,940,475,310,0.5836695791265025,0.522,0.4,114.14587067420379,113.66708040270308,113.39362618432385,113.36206896551724,15.605590675546182,16.57785219021107,Eric Dalen,200833
MEM,GSW,0022201061,2022-23,2023-03-18,133,119,home,False,0.47634660421545666,0.38401305057096247,0.7919320594479831,3135,2100,1117,504,271,0.5975761094792449,0.507,0.4,0.46925617235414374,0.3446937014667817,0.7264094955489614,3247,1755,903,579,406,0.5627147766323024,0.609,0.6,114.21483170175675,114.02896995708154,113.92511569204879,109.89641657334826,13.825438537906242,12.350253356059403,Derrick Collins,2002
HOU,GSW,0022201074,2022-23,2023-03-20,108,121,away,False,0.4756773399014778,0.38387096774193546,0.7926744989633725,3177,2127,1130,507,279,0.597040663537408,0.5,0.4,0.4547190832404902,0.3275563258232236,0.7548422800221362,3296,1595,1113,508,332,0.5533986617839867,0.254,0.6,114.28949457528445,113.91902619740672,110.03047935716266,118.15529934713153,15.524280266802894,11.796529205094421,Brent Barnaky,201638
GSW,PHI,0022201103,2022-23,2023-03-24,120,112,home,False,0.48639681486396813,0.388912399492171,0.8347921225382933,2955,1820,924,565,348,0.6080657814622267,0.681,0.8,0.4770752172610129,0.38249137119548166,0.793800539083558,3269,2191,1161,526,290,0.5981334687237272,0.514,0.4,117.03961084086171,111.92660550458714,114.55459584891065,114.02242557030544,15.711512605042017,15.484631178345463,Tony Brothers,1146
GSW,MIN,0022201121,2022-23,2023-03-26,96,99,away,False,0.4918843716184882,0.3612012987012987,0.7606837606837606,3075,1921,1102,602,404,0.5930646854112578,0.5,0.4,0.47707778763679387,0.3821439604572135,0.7931034482758621,3318,2218,1172,529,290,0.5982745989506458,0.52,0.4,113.11027209998699,113.14181723644872,114.31844215349369,113.83127624379692,11.605533721081708,15.356645174248376,Bill Kennedy,1662
GSW,SAS,0022201158,2022-23,2023-03-31,130,115,home,False,0.4645455842488229,0.34295136026380874,0.7391577624135763,3287,2055,1127,533,299,0.5525979888546434,0.25,0.2,0.4768986427952642,0.38287609285498947,0.7918552036199095,3396,2275,1206,549,296,0.5982241924203463,0.519,0.6,109.11043719989893,119.6252215750823,114.57118034007696,113.78582950738306,9.693137037905888,13.78412641635148,Zach Zarba,2534
